listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"Gading Serpong, Tangerang Selatan, Banten",6900000000.0,5.0,5.0,420.0,20720721.0,"6,900,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",4500000000.0,3.0,3.0,190.0,12747875.0,"4,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",3950000000.0,3.0,3.0,132.0,30859375.0,"3,950,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",3300000000.0,4.0,3.0,220.0,18333333.0,"3,300,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",3500000000.0,3.0,2.0,180.0,27777778.0,"3,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",4500000000.0,5.0,4.0,194.0,18672199.0,"4,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",4500000000.0,4.0,3.0,160.0,16544118.0,"4,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",4500000000.0,3.0,3.0,190.0,12747875.0,"4,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",4500000000.0,3.0,3.0,120.0,14062500.0,"4,500,000,000",Serpong,Serpong,Gading Serpong
"BSD, Tangerang Selatan, Banten",2200000000.0,5.0,4.0,140.0,19642857.0,"2,200,000,000",,,BSD
"Jalan cempaka, Bintaro, Tangerang Selatan, Banten",2732000000.0,4.0,3.0,112.0,28757895.0,"2,732,000,000",,Bintaro,Bintaro
"Gading Serpong, Tangerang Selatan, Banten",3100000000.0,5.0,3.0,200.0,19135802.0,"3,100,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",2500000000.0,4.0,4.0,150.0,16233766.0,"2,500,000,000",Serpong,Serpong,Gading Serpong
"Alam Sutera, Tangerang Selatan, Banten",4700000000.0,4.0,4.0,400.0,23500000.0,"4,700,000,000",,,Alam Sutera
"Gading Serpong, Tangerang Selatan, Banten",2350000000.0,5.0,4.0,128.0,19583333.0,"2,350,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",2500000000.0,4.0,3.0,128.0,20833333.0,"2,500,000,000",Serpong,Serpong,Gading Serpong
"BSD, Tangerang Selatan, Banten",2400000000.0,3.0,2.0,100.0,12000000.0,"2,400,000,000",,,BSD
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",3250000000.0,3.0,3.0,160.0,25390625.0,"3,250,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",1900000000.0,3.0,2.0,150.0,16101695.0,"1,900,000,000",,Bintaro,Bintaro
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",950000000.0,2.0,1.0,60.0,10555556.0,"950,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",950000000.0,2.0,1.0,60.0,10555556.0,"950,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",875000000.0,2.0,1.0,36.0,12152778.0,"875,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Sektor, Gading Serpong, Tangerang Selatan, Banten",2000000000.0,3.0,2.0,100.0,27777778.0,"2,000,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",2500000000.0,4.0,2.0,135.0,19841270.0,"2,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",3000000000.0,3.0,3.0,240.0,25000000.0,"3,000,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",3500000000.0,5.0,4.0,130.0,27343750.0,"3,500,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",7500000000.0,5.0,7.0,308.0,30000000.0,"7,500,000,000",Serpong,Serpong,Gading Serpong
"Jl Sektor Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",1550000000.0,2.0,2.0,126.0,15500000.0,"1,550,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",6900000000.0,4.0,4.0,349.0,23000000.0,"6,900,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",900000000.0,2.0,1.0,50.0,12500000.0,"900,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",3850000000.0,4.0,3.0,157.0,12833333.0,"3,850,000,000",Serpong,Serpong,Gading Serpong
"Jl Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",3200000000.0,3.0,3.0,135.0,25000000.0,"3,200,000,000",Serpong,Serpong,Gading Serpong
"BSD, Tangerang Selatan, Banten",3000000000.0,4.0,4.0,144.0,25000000.0,"3,000,000,000",,,BSD
"Serpong, Tangerang Selatan, Banten",5500000000.0,6.0,5.0,600.0,21825397.0,"5,500,000,000",Serpong,Serpong,Serpong
"BSD, Tangerang Selatan, Banten",990000000.0,3.0,2.0,90.0,30937500.0,"990,000,000",,,BSD
"Gading Serpong, Tangerang Selatan, Banten",1950000000.0,5.0,3.0,120.0,26351351.0,"1,950,000,000",Serpong,Serpong,Gading Serpong
"Gading Serpong, Tangerang Selatan, Banten",2550000000.0,4.0,3.0,105.0,24285714.0,"2,550,000,000",Serpong,Serpong,Gading Serpong
"Jl Cluster Berryl, Gading Serpong, Tangerang Selatan, Banten",2500000000.0,3.0,3.0,120.0,20833333.0,"2,500,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",2350000000.0,3.0,3.0,89.0,27976190.0,"2,350,000,000",,Bintaro,Bintaro
"Graha Carissa, Serpong Utara, Tangerang Selatan, Banten",1700000000.0,2.0,1.0,90.0,15740741.0,"1,700,000,000",Serpong,Serpong Utara,Serpong
"Cluster Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",1850000000.0,5.0,4.0,150.0,18877551.0,"1,850,000,000",,Bintaro,Bintaro
"Sektor 9, Bintaro, Tangerang Selatan, Banten",3850000000.0,5.0,4.0,180.0,25163399.0,"3,850,000,000",,Bintaro,Bintaro
